X,Y,Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,icon_url
-1.37,-14.9,"1",Piantino,Scandrigno,Scandrigno Landgrave,Fonticalia,Fonticalian Empire,Human,Greek Deities,"12719",927,801.5,-14.9,-1.37,"9",capital,port,citadel,walls,plaza,temple,shanty town,./0.png
-1.85,-17.33,"2",Sutralle,,,Neutrals,undefined,Human,No religion,"20304",915.5,860,-17.33,-1.85,"4",,port,citadel,walls,plaza,temple,shanty town,./0.png
-27.25,-4.12,"3",Itsiparnuupi,,,Neutrals,undefined,Vedalken,No religion,"886",306,543,-4.12,-27.25,"9",,port,citadel,,plaza,,,./0.png
8.42,-6.29,"4",Lostswind,,,Neutrals,undefined,Kalashtar,No religion,"4197",1162,595,-6.29,8.42,"25",,,citadel,walls,plaza,,,./0.png
-28.97,-1.09,"5",Ukakalik,,,Neutrals,undefined,Vedalken,No religion,"2237",264.7,470.13,-1.09,-28.97,"4",,,citadel,,plaza,,,./0.png
-10.49,7.48,"6",Kispercszek,,,Neutrals,undefined,Gnome,No religion,"508",708.21,264.39,7.48,-10.49,"36",,,citadel,,,,,./0.png
-35.31,14.0,"7",Kesztvartos,,,Neutrals,undefined,Half-Orc,No religion,"1168",112.5,108,14,-35.31,"4",,port,citadel,,,,,./0.png
-25.96,13.0,"8",Iolcis,,,Neutrals,undefined,Hadozee,No religion,"619",337,132,13,-25.96,"4",,port,citadel,,,,,./0.png
-0.1,1.79,"9",Thazin,,,Neutrals,undefined,Triton,No religion,"2117",957.5,401,1.79,-0.1,"4",,port,citadel,,,,,./0.png
32.27,-0.08,"10",Allalyma,,,Neutrals,undefined,Elf,No religion,"632",1734.5,446,-0.08,32.27,"4",,port,citadel,,,,,./0.png
20.08,-4.04,"11",Pylissos,,,Neutrals,undefined,Kender,No religion,"683",1442,541,-4.04,20.08,"4",,port,citadel,walls,,,,./0.png
31.48,-10.69,"12",Filnemar,,,Neutrals,undefined,Elf,No religion,"2846",1715.5,700.5,-10.69,31.48,"4",,port,citadel,,plaza,,,./0.png
10.29,-10.95,"13",Bayant,,,Neutrals,undefined,Gith,No religion,"5118",1206.94,706.92,-10.95,10.29,"4",,,,walls,plaza,temple,shanty town,./0.png
32.2504537216316,-23.3296702007381,"14",Oralon,Wlarith,Wlarith Shire,Dranzandyndor,Empire of Dranzandyndor,Elf,The Egyptian Pantheon,"838",1734,1004,-23.33,32.25,"4",capital,port,citadel,walls,,,,./0.png
18.77,-3.76,"15",Pinoicea,,,Neutrals,undefined,Kender,No religion,"482",1410.43,534.14,-3.76,18.77,"9",,,,walls,,,,./0.png
-21.87,15.15,"16",Gladsker,,,Neutrals,undefined,Bugbear,No religion,"638",435,80.5,15.15,-21.87,"4",,port,citadel,,,,,./0.png
-32,4.56,"17",Lerencs,,,Neutrals,undefined,Orc,No religion,"684",192,334.5,4.56,-32,"4",,port,,,plaza,,,./0.png
3.23,1.99,"18",Linlumenera,,,Neutrals,undefined,Triton,No religion,"2716",1037.56,396.19,1.99,3.23,"4",,,citadel,walls,plaza,,,./0.png
-27.82,-4.93,"19",Hakuseq,,,Neutrals,undefined,Vedalken,No religion,"1769",292.4,562.3,-4.93,-27.82,"4",,,citadel,,,,,./0.png
31.27,-8.87,"20",Oraloress,,,Neutrals,undefined,Elf,No religion,"2722",1710.5,657,-8.87,31.27,"4",,port,,,plaza,,,./0.png
16.27,-11.05,"21",Tazuda,,,Neutrals,undefined,Aarakocra,No religion,"1506",1350.4,709.3,-11.05,16.27,"4",,,citadel,,,,,./0.png
